Age,Pop
0,1359000
5,2018000
10,2301000
15,2312000
20,2973000
25,3604000
30,3508000
35,3372000
40,4061000
45,3939000
50,4479000
55,4122000
60,4214000
65,3288000
70,2227000
75,1636000
80,1301000
